Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,13.35,13.35,13,13,13.05,13.05,"2,325,200"
6-Nov-19,13.05,13.7,13.05,13.35,13.35,13.35,"575,900"
5-Nov-19,13.1,13.15,13,13.15,13.05,13.05,"225,500"
4-Nov-19,13.4,13.4,12.8,13.1,13,13,"1,329,800"
1-Nov-19,13.55,13.7,13.35,13.5,13.5,13.5,"2,995,400"
31-Oct-19,13.85,13.85,13,13.5,13.3,13.3,"616,100"
30-Oct-19,12.4,12.8,12.4,12.7,12.6,12.6,"203,600"
29-Oct-19,11.55,12,11.55,12,11.8,11.8,"76,500"
28-Oct-19,11.5,11.7,11.5,11.55,11.55,11.55,"66,700"
25-Oct-19,11.5,11.8,11.45,11.8,11.5,11.5,"45,800"
24-Oct-19,11.5,11.6,11.35,11.35,11.5,11.5,"124,900"
23-Oct-19,11.45,12,11.35,11.8,11.5,11.5,"69,600"
22-Oct-19,11.3,11.5,11.2,11.45,11.4,11.4,"772,800"
18-Oct-19,11.4,11.4,11.2,11.3,11.35,11.35,"106,100"
17-Oct-19,11.3,11.35,11.1,11.35,11.15,11.15,"139,500"
16-Oct-19,11.2,11.3,10.85,11.05,11.05,11.05,"994,300"
15-Oct-19,11.15,11.3,11,11,11.1,11.1,"43,800"
14-Oct-19,11.05,11.35,11.05,11.05,11.15,11.15,"13,800"
11-Oct-19,11.1,11.2,11.05,11.05,11.05,11.05,"39,500"
9-Oct-19,11.35,11.35,11,11,11.05,11.05,"140,400"
8-Oct-19,11.4,11.4,11,11.3,11.1,11.1,"22,400"
7-Oct-19,11.4,11.4,10.85,10.85,11,11,"330,000"
4-Oct-19,11.2,11.5,11,11,11.2,11.2,"42,700"
3-Oct-19,11.1,11.5,11,11,11.05,11.05,"1,057,900"
2-Oct-19,11.2,11.5,11,11,11.1,11.1,"113,300"
1-Oct-19,10.95,11.5,10.85,11.2,11.1,11.1,"51,700"
30-Sep-19,11.5,11.5,10.95,11.5,11,11,"118,900"
27-Sep-19,10.95,11.75,10.8,11.75,10.95,10.95,"1,320,800"
26-Sep-19,10.95,10.95,10.8,10.8,10.85,10.85,"315,400"
25-Sep-19,11,11,10.8,10.95,10.9,10.9,"47,300"
24-Sep-19,10.9,11,10.8,11,10.85,10.85,"343,000"
23-Sep-19,10.8,11,10.8,10.8,10.85,10.85,"142,900"
20-Sep-19,11,11,10.8,10.9,10.9,10.9,"1,144,200"
19-Sep-19,10.9,11,10.9,11,10.9,10.9,"13,018,800"
18-Sep-19,10.85,10.95,10.8,10.95,10.85,10.85,"351,500"
17-Sep-19,11,11,10.8,10.95,10.85,10.85,"844,100"
16-Sep-19,10.65,11,10.6,11,10.85,10.85,"54,500"
13-Sep-19,10.8,11,10.65,10.65,10.75,10.75,"142,800"
12-Sep-19,10.95,11,10.6,10.65,10.7,10.7,"121,500"
11-Sep-19,10.95,11,10.8,11,10.9,10.9,"23,079,200"
10-Sep-19,10.85,11.8,10.6,10.85,10.8,10.8,"29,900"
9-Sep-19,11,11,10.8,10.95,10.8,10.8,"951,700"
6-Sep-19,11,11,10.85,10.95,10.95,10.95,"89,000"
5-Sep-19,11.1,11.1,10.9,11,11,11,"2,168,400"
4-Sep-19,10.9,11.1,10.85,11.1,11,11,"5,564,400"
3-Sep-19,11,11,10.8,10.9,10.85,10.85,"216,500"
2-Sep-19,11.1,11.5,10.9,10.95,10.95,10.95,"83,700"
30-Aug-19,11,11.1,11,11.1,11,11,"190,000"
29-Aug-19,11.15,11.25,10.95,11,11.05,11.05,"94,100"
28-Aug-19,11,11.3,11,11.1,11,11,"142,200"
27-Aug-19,10.9,11,10.7,11,10.9,10.9,"994,800"
26-Aug-19,10.75,11,10.65,10.9,10.8,10.8,"60,800"
23-Aug-19,10.65,10.7,10.6,10.65,10.65,10.65,"88,000"
22-Aug-19,10.65,10.7,10.6,10.6,10.65,10.65,"39,800"
21-Aug-19,10.65,10.7,10.6,10.65,10.65,10.65,"757,600"
20-Aug-19,10.7,10.75,10.6,10.65,10.65,10.65,"58,000"
19-Aug-19,10.75,10.8,10.65,10.65,10.75,10.75,"736,200"
16-Aug-19,10.75,10.8,10.7,10.75,10.75,10.75,"2,651,900"
15-Aug-19,10.7,10.8,10.7,10.8,10.75,10.75,"190,300"
14-Aug-19,10.75,10.8,10.6,10.65,10.6,10.6,"289,600"
13-Aug-19,10.5,10.8,10.5,10.65,10.65,10.65,"119,800"
9-Aug-19,10.7,10.75,10.5,10.5,10.65,10.65,"354,900"
8-Aug-19,10.65,10.85,10.65,10.8,10.75,10.75,"168,300"
