Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,7,7.4,7,7.24,7.1,7.1,"2,266,600"
6-Nov-19,7,7.2,7,7,7,7,"5,851,700"
5-Nov-19,7,7,6.98,7,7,7,"228,500"
4-Nov-19,7,7,6.96,7,7,7,"630,000"
1-Nov-19,7,7,6.9,7,7,7,"803,100"
31-Oct-19,7,7.2,6.9,7,7.02,7.02,"440,900"
30-Oct-19,6.98,7.1,6.98,6.98,6.98,6.98,"19,600"
29-Oct-19,6.9,7.2,6.9,7,6.96,6.96,"22,900"
28-Oct-19,7.08,7.2,7,7,7.1,7.1,"409,600"
25-Oct-19,6.9,7,6.9,6.9,6.92,6.92,"21,900"
24-Oct-19,7.1,7.1,6.9,6.9,6.98,6.98,"22,600"
23-Oct-19,7,7.16,7,7.1,7,7,"181,200"
22-Oct-19,7.02,7.16,6.92,6.92,7,7,"375,300"
18-Oct-19,7.08,7.1,7,7,7.08,7.08,"69,600"
17-Oct-19,7.02,7.2,7.02,7.2,7.16,7.16,"7,600"
16-Oct-19,7.02,7.2,7,7,7.04,7.04,"7,200"
15-Oct-19,7,7.2,7,7.2,7.02,7.02,"7,000"
14-Oct-19,7.2,7.2,6.76,6.8,6.98,6.98,"21,300"
11-Oct-19,7.26,7.26,6.72,7,6.94,6.94,"122,900"
9-Oct-19,7,7,6.7,6.8,6.8,6.8,"57,400"
8-Oct-19,7,7,6.62,7,6.92,6.92,"10,300"
7-Oct-19,7.1,7.26,6.54,7,6.98,6.98,"145,300"
4-Oct-19,7.06,7.26,7,7.1,7.02,7.02,"34,200"
3-Oct-19,7.1,7.26,7.02,7.06,7.04,7.04,"35,900"
2-Oct-19,7.26,7.3,7,7.1,7.16,7.16,"10,800"
1-Oct-19,7.24,7.3,7,7.26,7.1,7.1,"56,100"
30-Sep-19,7,7.28,7,7.04,7.08,7.08,"14,800"
27-Sep-19,7.3,7.3,6.9,6.9,7.04,7.04,"40,300"
26-Sep-19,7.02,7.4,7.02,7.02,7.08,7.08,"49,000"
25-Sep-19,7.3,7.5,7,7.44,7.12,7.12,"31,200"
24-Sep-19,7.4,7.5,7.1,7.48,7.22,7.22,"24,400"
23-Sep-19,7.5,7.5,7,7.4,7.1,7.1,"21,900"
20-Sep-19,7.1,7.5,7,7,7.1,7.1,"39,100"
19-Sep-19,7.5,7.5,7.02,7.02,7.04,7.04,"19,800"
18-Sep-19,7.5,7.5,6.96,7.2,7.1,7.1,"11,500"
17-Sep-19,7.7,7.5,6.96,7.24,7.02,7.02,"11,700"
16-Sep-19,7,7.56,7,7,7,7,"335,800"
13-Sep-19,7.06,7.1,6.9,7,6.98,6.98,"55,600"
12-Sep-19,7,7.56,7,7.5,7.06,7.06,"48,500"
11-Sep-19,7.3,7.58,7.06,7.06,7.36,7.36,"12,000"
10-Sep-19,7.7,7.7,7.22,7.3,7.6,7.6,"4,400"
9-Sep-19,7.7,7.62,6.96,7.6,7.22,7.22,"13,400"
6-Sep-19,6.96,7.56,6.96,7.06,7.08,7.08,"14,800"
5-Sep-19,7.5,7.6,6.96,6.98,7.06,7.06,"25,400"
4-Sep-19,7.62,7.7,7,7,7.16,7.16,"43,500"
3-Sep-19,7.68,7.7,7.14,7.14,7.62,7.62,"64,000"
2-Sep-19,7.2,7.6,6.9,6.9,7,7,"131,700"
30-Aug-19,7,7.68,7,7.6,7.14,7.14,"8,000"
29-Aug-19,7,7.7,7,7.68,7.04,7.04,"50,100"
28-Aug-19,7.66,7.7,7,7,7.06,7.06,"312,200"
27-Aug-19,7,7.66,6.98,7.66,7,7,"15,100"
26-Aug-19,7,7,6.9,7,6.98,6.98,"138,600"
23-Aug-19,6.98,7,6.9,7,6.98,6.98,"600,000"
22-Aug-19,7,7,6.8,6.8,6.94,6.94,"19,900"
21-Aug-19,6.9,7,6.8,7,6.9,6.9,"137,300"
20-Aug-19,6.94,7,6.9,6.9,6.92,6.92,"8,500"
19-Aug-19,7.3,7.46,7,7,7.1,7.1,"12,100"
16-Aug-19,7.36,7.46,7.2,7.46,7.22,7.22,"40,400"
15-Aug-19,7.3,7.48,7.22,7.36,7.24,7.24,"87,000"
14-Aug-19,7.5,7.8,7.24,7.3,7.32,7.32,"8,600"
13-Aug-19,7.24,7.6,7.22,7.6,7.32,7.32,"7,500"
9-Aug-19,7.12,7.24,7.12,7.24,7.12,7.12,"8,600"
8-Aug-19,7.3,7.8,7.12,7.8,7.22,7.22,"25,500"
