Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,30.55,30.55,29.1,30.2,30.5,30.5,"1,714,400"
6-Nov-19,30.3,30.8,30,30.5,30.5,30.5,"172,800"
5-Nov-19,31.65,31.5,30,31.45,30.3,30.3,"147,000"
4-Nov-19,31,31.5,30,30.5,30.7,30.7,"29,100"
1-Nov-19,30,31.5,30,31,30.95,30.95,"15,700"
31-Oct-19,29,30.5,28,28,29,29,"62,200"
30-Oct-19,29,29,28.55,29,28.75,28.75,"29,500"
29-Oct-19,28.6,30,28.6,30,28.8,28.8,"4,800"
28-Oct-19,29,29.5,28.55,28.6,28.6,28.6,"53,600"
25-Oct-19,28.6,28.6,28.5,28.6,28.55,28.55,"4,600"
24-Oct-19,28.5,29,28.5,28.6,28.55,28.55,"20,400"
23-Oct-19,29,29,28.5,28.5,28.6,28.6,"5,800"
22-Oct-19,28.55,28.75,28.5,28.6,28.55,28.55,"41,300"
18-Oct-19,28.45,28.5,28.3,28.5,28.5,28.5,"27,800"
17-Oct-19,29,29.5,28.5,29.5,28.85,28.85,"15,800"
16-Oct-19,28,29,28,29,28.2,28.2,"2,200"
15-Oct-19,29,29,27.5,29,28.1,28.1,"10,700"
14-Oct-19,29.1,29.1,29,29,29.1,29.1,"2,200"
11-Oct-19,28.75,29,28.75,28.75,28.9,28.9,400
9-Oct-19,29,29.95,28.75,29,29,29,"84,200"
8-Oct-19,29.5,29.85,28.5,29,28.85,28.85,"8,300"
7-Oct-19,29.95,29.95,27.75,28.5,28.85,28.85,"109,300"
4-Oct-19,29.5,29.95,27.5,29.95,28.5,28.5,"18,800"
3-Oct-19,30,31,29,30,30.25,30.25,"25,700"
2-Oct-19,31.25,31.6,31,31.6,31.1,31.1,"1,047,800"
1-Oct-19,31.6,31.6,31,31.45,31.4,31.4,"148,100"
30-Sep-19,31.6,31.6,31,31.2,31.45,31.45,"106,300"
27-Sep-19,31,31.5,30.5,31.5,31.2,31.2,"16,300"
26-Sep-19,31,31.5,31,31.2,31.1,31.1,"35,200"
25-Sep-19,31.5,31.7,31,31.25,31.25,31.25,"1,010,000"
24-Sep-19,31,31.7,30.65,31.7,31.5,31.5,"141,800"
23-Sep-19,31,31.25,30.5,31,30.65,30.65,"29,800"
20-Sep-19,30,31.5,30,31,31,31,"50,100"
19-Sep-19,29.5,30,29.5,30,30,30,"76,600"
18-Sep-19,29.2,30,29.1,29.5,29.75,29.75,"27,100"
17-Sep-19,28.5,30,28.5,30,29.45,29.45,"30,900"
16-Sep-19,29,29.5,28.85,28.85,28.95,28.95,"62,600"
13-Sep-19,29.5,29.5,28.85,28.85,29.35,29.35,"96,000"
12-Sep-19,29.25,29.5,29.25,29.5,29.3,29.3,"38,400"
11-Sep-19,29,29.5,29,29,29,29,"41,700"
10-Sep-19,30.4,30,29,29.1,29.1,29.1,"15,100"
9-Sep-19,29,30,28.75,28.75,28.85,28.85,"170,800"
6-Sep-19,31.9,29.5,28.5,29,28.65,28.65,"13,600"
5-Sep-19,30,30,29,30,29.3,29.3,"6,100"
4-Sep-19,31.5,30,28.5,29,29.05,29.05,"64,500"
3-Sep-19,30,30,29,29.15,29.15,29.15,"42,800"
2-Sep-19,29,30,28.5,30,28.65,28.65,"24,100"
30-Aug-19,30,30,29,29,29.1,29.1,"34,800"
29-Aug-19,31,31,28.3,29,29,29,"261,300"
28-Aug-19,31.5,31.5,28.15,28.25,30.15,30.15,"11,300"
27-Aug-19,31.5,31.5,31.25,31.25,31.25,31.25,"791,700"
26-Aug-19,30,32,31.3,31.65,31.6,31.6,"2,900"
23-Aug-19,31.5,31.65,31.5,31.5,31.5,31.5,"370,300"
22-Aug-19,31.5,32,31.5,31.65,31.6,31.6,"15,200"
21-Aug-19,32.1,32.3,31.5,31.5,31.65,31.65,"642,400"
20-Aug-19,32.05,32.1,32,32,32,32,"31,500"
19-Aug-19,32.95,32.95,32,32.05,32.1,32.1,"37,200"
16-Aug-19,32.25,32.3,32.1,32.3,32.2,32.2,"60,400"
15-Aug-19,32.15,32.3,32.1,32.3,32.15,32.15,"56,700"
14-Aug-19,32.3,32.3,32.05,32.05,32.15,32.15,"17,800"
13-Aug-19,32.05,32.95,32.05,32.95,32.25,32.25,"29,700"
9-Aug-19,32.4,32.5,32,32,32.3,32.3,"6,900"
8-Aug-19,32.45,33,32.3,32.5,32.35,32.35,"19,600"
7-Aug-19,32.6,33,32.4,32.45,32.4,32.4,"2,900"
