Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,205,205.25,205,205.25,205,205,"198,300"
6-Nov-19,205,207,205,205,205,205,"212,800"
5-Nov-19,205,205,204.5,205,205,205,"61,800"
4-Nov-19,205,205,200.5,205,204.75,204.75,"12,400"
1-Nov-19,210,210,209,210,209.75,209.75,"140,900"
31-Oct-19,200,210,197,200.25,201,201,"36,100"
30-Oct-19,195,200,195,200,199.75,199.75,"880,000"
29-Oct-19,194,195,194,195,195,195,"79,900"
28-Oct-19,196,196,194,194,194,194,"231,900"
25-Oct-19,195,198,195,198,195,195,"507,200"
24-Oct-19,193,193,191,193,192.5,192.5,"3,000"
23-Oct-19,195,195,191,193,193,193,"210,300"
22-Oct-19,191,195,191,191,191,191,"242,300"
18-Oct-19,195,195,192,193,192,192,"333,100"
17-Oct-19,191,193,191,193,193,193,"306,400"
16-Oct-19,195,195,191,191,191.75,191.75,"32,900"
15-Oct-19,193,193,193,193,193,193,DNT
14-Oct-19,193,193,192.25,193,193,193,"526,200"
11-Oct-19,195,196,190.5,191,192.25,192.25,"82,800"
9-Oct-19,191,193,191,191,192.25,192.25,"20,600"
8-Oct-19,192,192,190,190.5,191,191,"155,200"
7-Oct-19,191.5,199.75,190,190,191,191,"8,400"
4-Oct-19,195,199,195,195,195,195,"10,900"
3-Oct-19,194.5,199.75,192,199.75,194.25,194.25,"106,000"
2-Oct-19,192.5,200,192.5,200,193.5,193.5,"194,300"
1-Oct-19,192,194,190.25,190.25,192.5,192.5,"11,600"
30-Sep-19,194.5,194.75,192,192,193.75,193.75,"31,700"
27-Sep-19,192.25,195,192.25,193,194,194,"270,800"
26-Sep-19,192.5,197,192,194,192.5,192.5,"211,600"
25-Sep-19,197,199,197,197,197,197,"160,400"
24-Sep-19,200,200,196,196,197.75,197.75,"276,100"
23-Sep-19,199,199,197,199,198.75,198.75,"40,700"
20-Sep-19,200,200,197,197,199,199,"380,500"
19-Sep-19,200.25,205,199,200,199.5,199.5,"441,400"
18-Sep-19,201,201,200,201,200.75,200.75,"6,000"
17-Sep-19,199,200,199,199,199,199,"332,000"
16-Sep-19,200,200,199,199,200,200,"360,200"
13-Sep-19,198,201,198,200,199.25,199.25,"376,300"
12-Sep-19,210,199.75,197.75,198,198,198,"100,000"
11-Sep-19,205,198,197,198,197.75,197.75,"62,200"
10-Sep-19,198,198,197.25,198,197.75,197.75,"1,220,500"
9-Sep-19,197,197,197,197,197,197,"98,000"
6-Sep-19,195,201,195,201,195.25,195.25,"10,600"
5-Sep-19,195,195,193,193,193.5,193.5,"332,700"
4-Sep-19,195,201,195,201,196,196,"57,700"
3-Sep-19,193,195.25,193,195,194.75,194.75,"1,328,400"
2-Sep-19,195,196,195,195,195,195,"10,300"
30-Aug-19,196,197,195,195,196,196,"131,600"
29-Aug-19,195.75,196,195.75,196,195.75,195.75,"7,000"
28-Aug-19,200,200,195,199.75,199.75,199.75,"9,400"
27-Aug-19,196,200,195.25,199.25,199.75,199.75,"961,200"
26-Aug-19,196,201,195,195,195.75,195.75,"20,800"
23-Aug-19,200,201,200,200,200,200,"21,100"
22-Aug-19,200.75,201,200,201,200.75,200.75,"357,400"
21-Aug-19,200,209,200,203,200.25,200.25,"224,000"
20-Aug-19,200,200.5,200,200,200,200,"42,100"
19-Aug-19,200.75,200.75,200,200,200,200,"176,300"
16-Aug-19,200.5,204,200,200,200.5,200.5,"15,700"
15-Aug-19,203.75,203.75,200,200,201.75,201.75,"160,000"
14-Aug-19,203.75,203.75,203,203.75,203.5,203.5,"2,300"
13-Aug-19,204,204.25,200,200,203.75,203.75,"151,800"
9-Aug-19,205,205.25,202.5,204,204,204,"34,500"
8-Aug-19,203.75,203.75,202.5,202.5,202.5,202.5,"15,100"
