Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,49,50,48,48,48.75,48.75,"2,031,400"
6-Nov-19,50,52,49.15,49.95,50.25,50.25,"15,942,300"
5-Nov-19,46.2,48.9,45,48,47.65,47.65,"4,293,700"
4-Nov-19,46.5,51,46,46.2,49.65,49.65,"2,402,400"
1-Nov-19,47.45,51,47.45,49,50.75,50.75,"23,830,800"
31-Oct-19,44.5,47.45,44.5,47.45,46.5,46.5,"14,401,400"
30-Oct-19,41,44.4,41,44.4,43.15,43.15,"13,081,600"
29-Oct-19,40.5,40.95,40.25,40.5,40.5,40.5,"5,604,000"
28-Oct-19,39.9,40.5,39.9,40,40.5,40.5,"3,746,200"
25-Oct-19,39.55,40,39.55,40,39.95,39.95,"10,023,700"
24-Oct-19,39,40,39,40,39.5,39.5,"14,899,300"
23-Oct-19,39,39.8,38.8,39.3,38.95,38.95,"614,500"
22-Oct-19,38,39.25,38,38.8,38.95,38.95,"13,883,900"
18-Oct-19,38,38.15,37.5,37.5,38,38,"18,281,700"
17-Oct-19,37.15,38.5,37.15,38,37.6,37.6,"40,969,500"
16-Oct-19,35.9,36.95,35.8,35.8,36.05,36.05,"195,200"
15-Oct-19,37,37,35.8,35.8,36,36,"297,900"
14-Oct-19,37,37,35.9,37,36.3,36.3,"14,000"
11-Oct-19,36.05,36.8,35,35.7,36.1,36.1,"3,820,200"
9-Oct-19,36.7,37,35.7,36.35,35.9,35.9,"2,501,000"
8-Oct-19,37.5,37.5,35.85,35.85,36.25,36.25,"1,441,900"
7-Oct-19,37.7,38,37,37,37.5,37.5,"6,140,900"
4-Oct-19,37.4,38.05,37.4,37.6,37.9,37.9,"158,000"
3-Oct-19,37.5,38,37.5,37.5,37.5,37.5,"6,176,300"
2-Oct-19,37.4,37.5,37.3,37.5,37.45,37.45,"2,033,600"
1-Oct-19,37.5,37.5,37.4,37.45,37.45,37.45,"773,500"
30-Sep-19,38,38,37.25,37.5,37.45,37.45,"2,657,700"
27-Sep-19,37.7,38,36.55,37.4,37.45,37.45,"6,998,900"
26-Sep-19,38.25,38.4,37.8,38,37.95,37.95,"568,000"
25-Sep-19,38.5,39,38.25,38.25,38.35,38.35,"664,600"
24-Sep-19,38.25,38.5,38,38.25,38.25,38.25,"1,333,900"
23-Sep-19,38.05,38.7,38.05,38.25,38.2,38.2,"639,900"
20-Sep-19,38,38,37.5,37.9,37.9,37.9,"3,907,500"
19-Sep-19,37.95,38,37.6,37.9,37.95,37.95,"3,823,100"
18-Sep-19,38,39,37.6,38,37.95,37.95,"3,002,800"
17-Sep-19,37.75,37.95,37.5,37.95,37.6,37.6,"493,500"
16-Sep-19,37.8,37.8,37.5,37.75,37.75,37.75,"59,800"
13-Sep-19,38,38,37.8,37.8,37.9,37.9,"727,800"
12-Sep-19,38,38.4,38,38,38.1,38.1,"600,300"
11-Sep-19,37.5,38.35,37.5,38.2,38,38,"47,400"
10-Sep-19,38.75,40,37.5,37.55,37.95,37.95,"746,000"
9-Sep-19,38,38.8,37.2,38.8,37.95,37.95,"659,000"
6-Sep-19,38,38,37,38,37.05,37.05,"5,723,300"
5-Sep-19,39,39,37.8,37.8,38.1,38.1,"1,576,400"
4-Sep-19,39.5,39.5,39,39.2,39.25,39.25,"1,576,500"
3-Sep-19,39.5,39.65,39.05,39.3,39.5,39.5,"2,156,700"
2-Sep-19,39.3,40,39,39.5,39.65,39.65,"97,400"
30-Aug-19,40.4,40.5,39.8,39.95,39.9,39.9,"639,400"
29-Aug-19,40,40.6,40,40.45,40.45,40.45,"711,200"
28-Aug-19,40,40.5,39.8,40,40.4,40.4,"1,386,600"
27-Aug-19,39.8,40.5,39.4,40.5,40.35,40.35,"4,134,400"
26-Aug-19,39.7,40,39.7,39.8,39.8,39.8,"285,600"
23-Aug-19,39.1,40,39.1,39.85,39.8,39.8,"1,386,400"
22-Aug-19,38.4,39.5,38.15,39.25,39.2,39.2,"404,900"
21-Aug-19,38.85,39.5,38.1,38.35,38.2,38.2,"288,400"
20-Aug-19,38.75,38.95,38,38,38.15,38.15,"355,300"
19-Aug-19,39.65,39.65,38,38.05,38.85,38.85,"386,000"
16-Aug-19,39.5,40,39,39,39.2,39.2,"35,000"
15-Aug-19,40,40,39,39.5,39.65,39.65,"46,400"
14-Aug-19,40.2,40.2,39.9,40,39.95,39.95,"18,595,900"
13-Aug-19,40.3,40.45,40,40,40.2,40.2,"2,437,400"
9-Aug-19,40.15,40.5,40.15,40.5,40.25,40.25,"137,000"
8-Aug-19,40,40.5,40,40.45,40.45,40.45,"597,700"
7-Aug-19,40,40.25,40,40.1,40.05,40.05,"206,700"
