Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,53,53,51,51.5,52.75,52.75,"4,669,800"
6-Nov-19,51,53.5,51,53.5,53.25,53.25,"5,885,600"
5-Nov-19,48.5,51.5,47.95,50,50.25,50.25,"3,372,700"
4-Nov-19,53,53,47.95,48.5,51,51,"3,163,400"
1-Nov-19,51.75,54,51.75,53,53.25,53.25,"12,647,400"
31-Oct-19,49,52.75,49,52.5,51.75,51.75,"15,005,700"
30-Oct-19,46,49.5,46,49,48.1,48.1,"1,514,500"
29-Oct-19,46,46,44.8,45.05,45,45,"400,200"
28-Oct-19,44.5,45.2,44.5,45.1,45.05,45.05,"952,000"
25-Oct-19,44.5,45,43.75,45,44.1,44.1,"1,477,400"
24-Oct-19,44,44,43.5,44,43.8,43.8,"2,583,900"
23-Oct-19,43.25,44,43.2,43.5,43.3,43.3,"872,900"
22-Oct-19,43.5,44,43.3,43.3,43.55,43.55,"4,418,000"
18-Oct-19,43.1,43.5,43.05,43.25,43.25,43.25,"3,103,900"
17-Oct-19,42.1,43.9,42.1,43.05,42.6,42.6,"1,611,100"
16-Oct-19,41.2,41.9,40.5,41,41.4,41.4,"552,900"
15-Oct-19,41.45,42,41.45,41.45,41.7,41.7,"1,009,400"
14-Oct-19,43,43,41.2,41.75,41.45,41.45,"33,600"
11-Oct-19,42,42,41.55,41.85,41.8,41.8,"2,150,000"
9-Oct-19,40,41.9,41.1,41.6,41.65,41.65,"817,700"
8-Oct-19,40.8,43,40.8,41.15,40.9,40.9,"1,094,000"
7-Oct-19,41.5,41.6,40,40.7,40.8,40.8,"622,000"
4-Oct-19,42.2,42.2,41,41.5,41.85,41.85,"1,801,200"
3-Oct-19,42.2,42.3,42,42.2,42.15,42.15,"7,430,600"
2-Oct-19,42.4,42.4,42.05,42.2,42.15,42.15,"4,196,700"
1-Oct-19,42,42.4,42,42.05,42,42,"538,100"
30-Sep-19,42,42.4,42,42.05,42,42,"476,000"
27-Sep-19,42,42.5,42,42,42,42,"740,400"
26-Sep-19,41.5,42.3,41,42.3,41.95,41.95,"2,910,800"
25-Sep-19,40.55,41.6,40.55,41.5,41,41,"2,718,500"
24-Sep-19,40.5,40.95,40,40.6,40.5,40.5,"1,140,900"
23-Sep-19,40,40.5,40,40.5,40,40,"48,600"
20-Sep-19,40.25,40.5,40,40.05,40.1,40.1,"2,566,500"
19-Sep-19,39,40.3,39,40.25,40.05,40.05,"11,804,000"
18-Sep-19,38.8,39.5,38.8,39.25,39.15,39.15,"1,791,000"
17-Sep-19,39,39,38.8,38.8,38.9,38.9,"65,800"
16-Sep-19,38.5,38.95,38.5,38.8,38.85,38.85,"165,400"
13-Sep-19,38.5,39.95,38.5,38.5,38.5,38.5,"158,300"
12-Sep-19,38.15,38.95,38.1,38.5,38.45,38.45,"102,900"
11-Sep-19,38,38.5,37.7,38.45,38,38,"122,900"
10-Sep-19,37.55,38,37.55,37.95,37.9,37.9,"118,800"
9-Sep-19,38.5,38.5,37.25,37.95,38,38,"1,334,000"
6-Sep-19,39,39,37.3,38,38.2,38.2,"354,700"
5-Sep-19,40,40,39.9,39.95,39.95,39.95,"511,600"
4-Sep-19,39.95,40.4,39.95,39.95,40,40,"7,257,600"
3-Sep-19,39.95,40.1,39.85,40,39.95,39.95,"1,471,200"
2-Sep-19,40,40.2,39.9,39.95,39.95,39.95,"132,600"
30-Aug-19,40.45,40.5,40,40,40.15,40.15,"768,300"
29-Aug-19,40.1,40.5,40,40.4,40.4,40.4,"3,996,000"
28-Aug-19,40.2,40.5,40.1,40.5,40.2,40.2,"142,200"
27-Aug-19,40,40.3,40,40.2,40.2,40.2,"461,300"
26-Aug-19,40,40.25,40,40,40.05,40.05,"392,600"
23-Aug-19,40,40.2,40,40,40.1,40.1,"82,000"
22-Aug-19,39.9,40.1,39.9,40,40,40,"2,736,100"
21-Aug-19,39.95,40,39.9,39.9,39.9,39.9,"206,600"
20-Aug-19,39.5,40,39.5,40,39.85,39.85,"1,092,700"
19-Aug-19,40,40,39.5,39.85,39.75,39.75,"1,436,100"
16-Aug-19,39.9,39.9,39.7,39.8,39.8,39.8,"406,100"
15-Aug-19,39.6,39.95,39.6,39.85,39.85,39.85,"249,700"
14-Aug-19,39.65,40,39.6,39.6,39.9,39.9,"1,262,000"
13-Aug-19,39.55,40,39.55,39.65,39.65,39.65,"99,500"
9-Aug-19,39.5,40,39.5,39.8,39.8,39.8,"295,800"
8-Aug-19,39.4,39.8,39.3,39.5,39.45,39.45,"113,300"
