Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,3.45,3.55,3,3.29,3.16,3.16,"278,500"
6-Nov-19,3.1,3.35,3.01,3.3,3.29,3.29,"130,000"
5-Nov-19,3.1,3.3,3,3.3,3.24,3.24,"65,800"
4-Nov-19,3,3.3,2.8,3.1,3,3,"19,500"
1-Nov-19,3.2,3.25,3,3.05,3.11,3.11,"13,500"
31-Oct-19,3,3.3,3,3.25,3.2,3.2,"20,300"
30-Oct-19,3.3,3.3,3,3.28,3.11,3.11,"60,900"
29-Oct-19,3.02,3.3,3,3.3,3.04,3.04,"63,100"
28-Oct-19,3,3.1,3,3.1,3.02,3.02,"28,900"
25-Oct-19,2.95,2.97,2.54,2.69,2.84,2.84,"239,000"
24-Oct-19,2.85,2.95,2.74,2.95,2.82,2.82,"19,400"
23-Oct-19,2.74,2.9,2.73,2.85,2.75,2.75,"9,900"
22-Oct-19,2.74,2.74,2.69,2.7,2.7,2.7,"5,500"
18-Oct-19,2.69,2.74,2.69,2.72,2.73,2.73,"11,800"
17-Oct-19,2.68,2.7,2.66,2.7,2.69,2.69,"19,700"
16-Oct-19,2.6,2.7,2.6,2.68,2.69,2.69,"5,900"
15-Oct-19,2.6,2.74,2.6,2.73,2.68,2.68,"27,800"
14-Oct-19,2.7,2.7,2.5,2.57,2.54,2.54,"60,200"
11-Oct-19,2.75,2.75,2.69,2.69,2.74,2.74,"11,600"
9-Oct-19,2.65,2.9,2.5,2.5,2.69,2.69,"47,000"
8-Oct-19,2.63,2.89,2.54,2.89,2.77,2.77,"82,300"
7-Oct-19,2.65,2.8,2.5,2.7,2.63,2.63,"12,000"
4-Oct-19,2.54,2.65,2.54,2.65,2.58,2.58,"64,900"
3-Oct-19,2.48,2.5,2.31,2.5,2.44,2.44,"5,800"
2-Oct-19,2.52,2.55,2.28,2.5,2.49,2.49,"44,300"
1-Oct-19,2.53,2.55,2.51,2.55,2.52,2.52,"52,100"
30-Sep-19,2.59,2.64,2.53,2.53,2.55,2.55,"14,900"
27-Sep-19,2.54,2.64,2.5,2.64,2.54,2.54,"91,600"
26-Sep-19,2.52,2.54,2.52,2.54,2.53,2.53,"18,000"
25-Sep-19,2.54,2.55,2.5,2.54,2.51,2.51,"44,900"
24-Sep-19,2.52,2.54,2.4,2.52,2.51,2.51,"10,600"
23-Sep-19,2.54,2.54,2.28,2.4,2.32,2.32,"860,700"
20-Sep-19,2.55,2.55,2.22,2.55,2.52,2.52,"39,200"
19-Sep-19,2.3,2.59,2.3,2.54,2.46,2.46,"41,600"
18-Sep-19,2.48,2.5,2.3,2.3,2.39,2.39,"24,500"
17-Sep-19,2.59,2.59,2.4,2.43,2.5,2.5,"30,800"
16-Sep-19,2.6,2.6,2.45,2.45,2.48,2.48,"29,500"
13-Sep-19,2.55,2.55,2.48,2.48,2.51,2.51,"32,900"
12-Sep-19,2.59,2.59,2.48,2.5,2.51,2.51,"17,300"
11-Sep-19,2.5,2.6,2.5,2.55,2.5,2.5,"149,200"
10-Sep-19,2.57,2.6,2.48,2.5,2.53,2.53,"30,300"
9-Sep-19,2.59,2.6,2.57,2.57,2.58,2.58,"3,300"
6-Sep-19,2.54,2.62,2.54,2.54,2.57,2.57,"7,800"
5-Sep-19,2.48,2.6,2.48,2.57,2.57,2.57,"8,800"
4-Sep-19,2.6,2.6,2.42,2.52,2.48,2.48,"181,300"
3-Sep-19,2.6,2.7,2.5,2.5,2.56,2.56,"78,600"
2-Sep-19,2.55,2.6,2.5,2.55,2.54,2.54,"15,500"
30-Aug-19,2.5,2.55,2.49,2.55,2.5,2.5,"77,600"
29-Aug-19,2.4,2.5,2.4,2.5,2.47,2.47,"11,500"
28-Aug-19,2.49,2.66,2.25,2.48,2.43,2.43,"35,500"
27-Aug-19,2.7,2.73,2.6,2.73,2.66,2.66,"87,300"
26-Aug-19,2.6,2.7,2.5,2.7,2.65,2.65,"20,500"
23-Aug-19,2.62,2.69,2.49,2.64,2.53,2.53,"140,700"
22-Aug-19,2.61,2.75,2.5,2.5,2.63,2.63,"169,300"
21-Aug-19,2.6,2.83,2.46,2.5,2.62,2.62,"125,500"
20-Aug-19,2.98,2.98,2.6,2.6,2.73,2.73,"86,600"
19-Aug-19,2.75,3,2.7,2.7,2.74,2.74,"52,300"
16-Aug-19,3.17,3.17,2.64,2.75,2.98,2.98,"230,600"
15-Aug-19,3,3.1,2.73,2.8,2.89,2.89,"60,100"
14-Aug-19,2.8,3,2.7,2.73,2.82,2.82,"179,200"
13-Aug-19,3,3.13,2.7,2.8,2.73,2.73,"58,600"
9-Aug-19,3,3,2.67,2.67,2.86,2.86,"95,500"
8-Aug-19,3,3.13,2.9,2.95,2.95,2.95,"92,100"
