Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,3.38,3.38,3.15,3.15,3.27,3.27,"59,200"
6-Nov-19,3.1,3.38,3,3,3.14,3.14,"322,200"
5-Nov-19,3.2,3.2,3,3,3.09,3.09,"622,600"
4-Nov-19,3.15,3.42,3.1,3.1,3.14,3.14,"357,800"
1-Nov-19,3.15,3.19,3.1,3.15,3.16,3.16,"92,300"
31-Oct-19,3,3.15,2.8,3.15,2.93,2.93,"651,500"
30-Oct-19,3.1,3.14,2.91,3,3.03,3.03,"394,300"
29-Oct-19,3.1,3.1,2.91,3.08,3.01,3.01,"61,800"
28-Oct-19,3.13,3.13,2.91,3,2.99,2.99,"18,100"
25-Oct-19,3.14,3.14,2.9,2.9,2.91,2.91,"211,000"
24-Oct-19,2.95,3.01,2.93,3.01,2.99,2.99,"18,000"
23-Oct-19,3.19,3.19,2.91,2.93,2.97,2.97,"21,800"
22-Oct-19,3.19,3.19,2.9,2.91,2.93,2.93,"60,300"
18-Oct-19,3.19,3.19,2.85,2.89,2.91,2.91,"67,600"
17-Oct-19,2.9,2.9,2.81,2.9,2.9,2.9,"63,600"
16-Oct-19,2.95,2.95,2.8,2.88,2.88,2.88,"203,800"
15-Oct-19,2.95,2.97,2.9,2.94,2.93,2.93,"277,900"
14-Oct-19,3,3.2,2.9,2.95,2.94,2.94,"99,100"
11-Oct-19,2.98,3.2,2.97,3.2,3.08,3.08,"109,900"
9-Oct-19,2.85,2.97,2.85,2.96,2.93,2.93,"28,600"
8-Oct-19,2.8,2.96,2.79,2.96,2.82,2.82,"99,600"
7-Oct-19,2.8,2.95,2.8,2.85,2.83,2.83,"95,800"
4-Oct-19,2.8,2.85,2.79,2.8,2.8,2.8,"78,700"
3-Oct-19,2.8,2.8,2.75,2.8,2.8,2.8,"214,800"
2-Oct-19,2.9,2.9,2.75,2.8,2.81,2.81,"539,500"
1-Oct-19,2.9,2.9,2.84,2.89,2.87,2.87,"97,300"
30-Sep-19,2.94,2.94,2.9,2.9,2.92,2.92,"83,300"
27-Sep-19,2.7,2.99,2.82,2.94,2.92,2.92,"134,900"
26-Sep-19,2.98,2.99,2.9,2.97,2.97,2.97,"582,100"
25-Sep-19,3,3,2.9,2.98,2.96,2.96,"156,700"
24-Sep-19,3.1,3.1,2.98,3,3,3,"181,000"
23-Sep-19,3.08,3.14,3,3.1,3.04,3.04,"597,100"
20-Sep-19,3.15,3.15,3,3,3.02,3.02,"451,200"
19-Sep-19,3.5,3.5,3,3.14,3.09,3.09,"279,800"
18-Sep-19,3.8,3.5,3.4,3.5,3.49,3.49,"149,700"
17-Sep-19,3.6,3.68,3.5,3.5,3.5,3.5,"1,763,200"
16-Sep-19,3.6,3.7,3.55,3.6,3.59,3.59,"21,900"
13-Sep-19,3.5,3.7,3.5,3.6,3.62,3.62,"99,500"
12-Sep-19,3.69,3.7,3.57,3.68,3.64,3.64,"57,200"
11-Sep-19,3.7,3.7,3.68,3.68,3.69,3.69,"17,100"
10-Sep-19,3.66,3.7,3.5,3.7,3.57,3.57,"32,600"
9-Sep-19,3.72,3.72,3.5,3.6,3.66,3.66,"668,000"
6-Sep-19,3.8,3.8,3.7,3.7,3.73,3.73,"93,300"
5-Sep-19,3.71,3.8,3.7,3.72,3.74,3.74,"11,000"
4-Sep-19,3.8,3.8,3.7,3.7,3.72,3.72,"58,000"
3-Sep-19,3.73,3.8,3.7,3.78,3.74,3.74,"44,200"
2-Sep-19,3.85,3.8,3.72,3.72,3.73,3.73,"34,500"
30-Aug-19,3.76,3.9,3.78,3.8,3.8,3.8,"32,800"
29-Aug-19,3.7,3.8,3.7,3.8,3.79,3.79,"39,000"
28-Aug-19,4,4,3.65,3.7,3.7,3.7,"101,700"
27-Aug-19,3.65,3.68,3.6,3.65,3.64,3.64,"80,600"
26-Aug-19,3.66,3.68,3.6,3.66,3.63,3.63,"20,900"
23-Aug-19,3.68,3.69,3.66,3.66,3.66,3.66,"131,200"
22-Aug-19,3.6,3.69,3.6,3.66,3.66,3.66,"34,600"
21-Aug-19,3.71,3.7,3.6,3.7,3.64,3.64,"38,600"
20-Aug-19,3.7,3.8,3.6,3.8,3.63,3.63,"291,400"
19-Aug-19,3.7,3.75,3.69,3.69,3.71,3.71,"176,600"
16-Aug-19,4,3.75,3.67,3.7,3.7,3.7,"15,500"
15-Aug-19,3.8,3.8,3.6,3.68,3.67,3.67,"157,400"
14-Aug-19,3.65,4,3.65,3.65,3.67,3.67,"40,300"
13-Aug-19,3.7,3.85,3.65,3.75,3.69,3.69,"38,700"
9-Aug-19,3.83,3.85,3.65,3.66,3.7,3.7,"16,800"
8-Aug-19,3.75,3.85,3.65,3.85,3.68,3.68,"24,300"
7-Aug-19,3.85,3.9,3.6,3.85,3.68,3.68,"788,500"
