Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,3.15,3.15,3,3.1,3.01,3.01,"312,400"
6-Nov-19,2.86,3.16,3.03,3.06,3.13,3.13,"80,700"
5-Nov-19,3.05,3.2,3.05,3.17,3.09,3.09,"280,700"
4-Nov-19,3.19,3.24,3.05,3.1,3.17,3.17,"5,414,000"
1-Nov-19,3.25,3.29,3.15,3.19,3.17,3.17,"740,600"
31-Oct-19,3.15,3.24,3.15,3.18,3.17,3.17,"77,300"
30-Oct-19,3.14,3.15,3.05,3.15,3.08,3.08,"185,700"
29-Oct-19,3.25,3.25,3.03,3.18,3.14,3.14,"358,600"
28-Oct-19,3.1,3.29,3.03,3.2,3.14,3.14,"32,800"
25-Oct-19,3,3.1,3,3.09,3.03,3.03,"45,000"
24-Oct-19,3.15,3.15,2.95,2.98,3,3,"916,800"
23-Oct-19,3.13,3.15,3,3,3.02,3.02,"167,500"
22-Oct-19,3.13,3.13,3,3.13,3.06,3.06,"17,500"
18-Oct-19,3.13,3.13,2.91,3,3,3,"2,186,400"
17-Oct-19,3,3.15,3,3.15,3.12,3.12,"40,400"
16-Oct-19,3,3,2.99,2.99,3,3,"84,200"
15-Oct-19,3,3,2.98,2.99,3,3,"59,000"
14-Oct-19,3,3,2.98,3,3,3,"11,000"
11-Oct-19,3.05,3.05,2.99,3,3.03,3.03,"154,200"
9-Oct-19,3,3.05,2.99,3,3,3,"57,400"
8-Oct-19,3.08,3.3,2.83,2.91,2.99,2.99,"461,200"
7-Oct-19,3,3.08,2.95,3,3,3,"127,200"
4-Oct-19,3,3,2.95,3,2.99,2.99,"57,000"
3-Oct-19,2.85,3.08,2.96,3,3,3,"1,244,900"
2-Oct-19,2.9,3,2.85,3,2.92,2.92,"21,000"
1-Oct-19,2.84,2.85,2.75,2.85,2.8,2.8,"5,195,200"
30-Sep-19,2.92,2.93,2.84,2.84,2.89,2.89,"47,300"
27-Sep-19,2.93,2.94,2.85,2.93,2.91,2.91,"111,300"
26-Sep-19,2.9,2.94,2.87,2.94,2.91,2.91,"102,400"
25-Sep-19,2.9,2.99,2.86,2.9,2.9,2.9,"1,243,800"
24-Sep-19,2.94,2.94,2.9,2.9,2.93,2.93,"100,700"
23-Sep-19,2.94,2.94,2.9,2.94,2.92,2.92,"63,500"
20-Sep-19,2.9,2.96,2.85,2.9,2.88,2.88,"2,254,100"
19-Sep-19,2.96,2.96,2.89,2.9,2.91,2.91,"4,646,500"
18-Sep-19,2.99,2.99,2.9,2.95,2.9,2.9,"1,143,700"
17-Sep-19,2.88,2.99,2.86,2.99,2.91,2.91,"25,300"
16-Sep-19,2.8,3,2.8,2.9,2.87,2.87,"135,500"
13-Sep-19,3,3,2.8,3,2.84,2.84,"177,300"
12-Sep-19,2.99,3,2.9,3,2.99,2.99,"86,100"
11-Sep-19,2.89,2.99,2.86,2.99,2.9,2.9,"112,000"
10-Sep-19,2.8,2.9,2.79,2.9,2.85,2.85,"23,900"
9-Sep-19,2.64,2.99,2.8,2.89,2.8,2.8,"1,795,400"
6-Sep-19,2.95,3,2.81,2.9,2.91,2.91,"1,761,100"
5-Sep-19,3.1,3.1,2.96,2.96,2.99,2.99,"25,200"
4-Sep-19,3,3.1,2.9,3,2.96,2.96,"204,300"
3-Sep-19,3.1,3.1,2.95,3,3,3,"52,200"
2-Sep-19,3.1,3.1,2.95,3,2.99,2.99,"105,600"
30-Aug-19,3.3,3.32,2.95,2.95,3.11,3.11,"46,000"
29-Aug-19,3.1,3.1,3,3.1,3.06,3.06,"40,200"
28-Aug-19,3.1,3.32,2.9,3.1,3.04,3.04,"176,300"
27-Aug-19,2.95,3.12,3,3.05,3.09,3.09,"69,000"
26-Aug-19,3.05,3.05,2.9,2.95,2.98,2.98,"91,200"
23-Aug-19,3.1,3.1,2.9,3,2.91,2.91,"4,925,500"
22-Aug-19,3,3.1,3,3.1,3.07,3.07,"35,700"
21-Aug-19,3.05,3.12,2.9,3,2.9,2.9,"13,260,300"
20-Aug-19,3,3.09,2.8,2.95,2.86,2.86,"14,128,000"
19-Aug-19,2.95,3.1,2.8,3.1,2.81,2.81,"3,461,700"
16-Aug-19,3,3.1,2.98,3.1,3.05,3.05,"66,500"
15-Aug-19,3.1,3.12,3,3,3.05,3.05,"184,900"
14-Aug-19,3,3.2,3,3.1,3.07,3.07,"205,000"
13-Aug-19,3.25,3.25,3,3.18,3.12,3.12,"124,800"
9-Aug-19,3.1,3.32,3.08,3.25,3.11,3.11,"398,600"
8-Aug-19,3.3,3.31,3.08,3.1,3.2,3.2,"80,000"
