Date,Open,High,Low,Close,VWAP,Adjusted VWAP,Volume
7-Nov-19,30.95,31.5,30.8,30.8,31.2,31.2,"10,563,700"
6-Nov-19,30.5,31.25,30.5,31.25,30.7,30.7,"40,264,800"
5-Nov-19,30.5,30.55,30.4,30.5,30.5,30.5,"6,699,600"
4-Nov-19,29.8,30.6,29.8,30.5,30.4,30.4,"8,531,600"
1-Nov-19,29.8,30.95,29.8,30.75,30.3,30.3,"7,080,600"
31-Oct-19,28.9,29.85,28.9,29.75,29.75,29.75,"23,205,300"
30-Oct-19,28.85,29.6,28.85,29.55,29.25,29.25,"22,245,100"
29-Oct-19,29,29,28.8,28.95,28.9,28.9,"4,306,200"
28-Oct-19,28.8,28.95,28.8,28.85,28.85,28.85,"2,595,300"
25-Oct-19,28.5,28.9,28.5,28.8,28.7,28.7,"24,186,000"
24-Oct-19,28.4,28.75,28.4,28.65,28.6,28.6,"3,019,500"
23-Oct-19,28.25,28.55,28.25,28.5,28.5,28.5,"3,795,000"
22-Oct-19,28.45,28.55,27.8,28.25,28.45,28.45,"16,056,000"
18-Oct-19,28,28.5,28,28,28.25,28.25,"3,182,300"
17-Oct-19,27.9,28.5,27.85,28.5,28.45,28.45,"5,111,400"
16-Oct-19,28,28,27,27.85,27.9,27.9,"8,243,800"
15-Oct-19,28,28.3,27.7,27.95,27.9,27.9,"502,000"
14-Oct-19,28,28.45,27.9,27.9,28,28,"1,129,700"
11-Oct-19,28.45,29,28.2,28.4,28.45,28.45,"4,501,800"
9-Oct-19,28,28.45,28,28.45,28.3,28.3,"3,544,700"
8-Oct-19,28,28.35,28,28.2,28.2,28.2,"1,733,300"
7-Oct-19,28,28.55,27.75,28.55,27.85,27.85,"4,762,700"
4-Oct-19,28.05,28.5,27.8,28.5,28.05,28.05,"9,273,300"
3-Oct-19,27.8,28.2,27.8,28.05,28.1,28.1,"5,614,900"
2-Oct-19,27.55,28,27.5,27.8,27.65,27.65,"8,347,100"
1-Oct-19,27.25,27.75,27.25,27.55,27.55,27.55,"8,742,600"
30-Sep-19,27.5,28,27.2,27.5,27.5,27.5,"1,392,200"
27-Sep-19,27.1,27.4,27.1,27.2,27.1,27.1,"6,838,100"
26-Sep-19,27.5,27.5,27,27.05,27.15,27.15,"2,459,600"
25-Sep-19,28,28,27.4,27.5,27.55,27.55,"30,531,000"
24-Sep-19,27.5,27.75,27.35,27.5,27.5,27.5,"4,280,400"
23-Sep-19,27.5,27.6,27.4,27.4,27.5,27.5,"1,195,000"
20-Sep-19,27.35,28,27.25,27.5,27.35,27.35,"5,855,100"
19-Sep-19,27.15,27.5,27.15,27.35,27.2,27.2,"2,746,200"
18-Sep-19,27.2,27.5,27.15,27.3,27.25,27.25,"1,076,700"
17-Sep-19,27.5,27.7,27.05,27.25,27.15,27.15,"5,055,900"
16-Sep-19,27.1,27.35,27.1,27.2,27.2,27.2,"1,356,000"
13-Sep-19,27.05,27.4,27.05,27.2,27.15,27.15,"1,513,000"
12-Sep-19,28,28,27.05,27.15,27.15,27.15,"1,167,400"
11-Sep-19,27,27.4,26.95,27.1,27.05,27.05,"14,255,500"
10-Sep-19,26.9,27.05,26.9,27,26.95,26.95,"3,275,100"
9-Sep-19,26.85,26.95,26.7,26.9,26.85,26.85,"2,307,800"
6-Sep-19,27,27,26.5,26.85,26.8,26.8,"9,506,900"
5-Sep-19,26.85,28.5,26.7,26.85,26.85,26.85,"19,366,300"
4-Sep-19,26.2,27,26.2,26.8,26.65,26.65,"12,551,400"
3-Sep-19,25.6,26.7,25.55,26.45,26.2,26.2,"5,592,600"
2-Sep-19,28.05,28.3,27.2,28,28.05,28.05,"12,684,500"
30-Aug-19,28.25,28.3,28,28.05,28.15,28.15,"3,348,700"
29-Aug-19,28,28.4,28,28.3,28.25,28.25,"1,409,800"
28-Aug-19,29,29,27.95,28,28,28,"2,320,900"
27-Aug-19,28.2,28.3,28.05,28.15,28.2,28.2,"4,926,000"
26-Aug-19,28.9,28.9,28,28.3,28.3,28.3,"1,395,100"
23-Aug-19,29.1,29.1,28.75,28.8,28.9,28.9,"220,300"
22-Aug-19,29.1,29.2,28.95,28.95,29,29,"20,130,900"
21-Aug-19,29.3,29.35,28.95,29,29.1,29.1,"4,233,900"
20-Aug-19,29.9,29.9,28.95,29.3,29.3,29.3,"33,724,500"
19-Aug-19,29.2,29.55,29,29,29.45,29.45,"13,620,300"
16-Aug-19,28.75,29.6,28.65,29.5,29.2,29.2,"23,352,400"
15-Aug-19,28.55,28.75,27.7,28.75,28.5,28.5,"11,502,100"
14-Aug-19,27.65,28.15,27.65,28.15,28,28,"6,576,500"
13-Aug-19,27.5,28.15,27.5,28,27.9,27.9,"4,050,300"
9-Aug-19,27.3,28,27.2,28,27.65,27.65,"10,389,600"
8-Aug-19,27.05,27.5,27.05,27.5,27.3,27.3,"2,832,400"
7-Aug-19,27.5,27.5,27,27.05,27.2,27.2,"6,139,400"
